french_name;latin_name;english_name;INCI_name;IS;hardness;INS;lauric;palmitic;stearic;ricinoleic;oleic;Linoleic;linolenic;NaOH_SAP;KOH_SAP;bubbly;creamy;iodine;mystiric;cleansing;condition;vitesse_tracage
Noix du Brésil, huile;Bertholletia Excelsa;Brazil Nut Oil;BERTHOLLETIA EXCELSA SEED OIL;193;24;99;0;13;11;0;39;36;0;0.135;0.193;0;24;94;0;0;75;3.1920896
Noix, huile;Juglans Regia;Walnut Oil;JUGLANS REGIA SEED OIL;192;9;46;0;7;2;0;18;60;0;0.135;0.192;0;9;146;0;0;78;2.3077376
Oie, graisse;Adeps Anserinus;Goose Fat;;192;27;130;0;21;6;0;54;10;0;0.137;0.192;0;27;65;0;0;64;3.3436928
Olive, huile;Olea Europaea;Olive Oil;OLEA EUROPAEA FRUIT OIL;192;17;114;0;14;3;0;69;12;1;0.135;0.192;0;17;78;0;0;82;3.4237056
Onagre, huile;Oenothera Biennis;Evening Primerose Oil ;OENOTHERA BIENNIS OIL;192;0;29;0;0;0;0;0;80;9;0.135;0.192;0;0;163;0;0;89;1.7981824
Ours, suif;Adeps Ursinus ;Tallow Bear;BEAR OIL;195;12;100;0;7;3;0;70;9;0;0.139;0.195;2;10;92;2;2;79;3.1457664
Palme, huile;Elaeis Guineensis;Palm Oil;ELAEIS GUINEENSIS OIL;198;50;145;0;44;5;0;39;10;0;0.142;0.198;1;49;53;1;1;49;4.0174848
Palmier nain, huile;Serenoa Serrulata;Saw Palmetto Oil;SERENOA SERRULATA FRUIT OIL;220;53;176;29;9;2;0;31;4;1;0.157;0.22;24;11;44;13;42;36;4.2785792
Papaye (graines), huile ;Carica Papaya;Papaya Seed Oil, Carica papaya;CARICA PAPAYA SEED OIL;158;18;91;0;13;5;0;76;3;0;0.113;0.158;0;18;67;0;0;79;3.4910848
Pastèque (graines), huile;Citrullus Lanatus;Watermelon Seed Oil;CITRULLUS LANATUS SEED OIL;190;21;71;0;11;10;0;18;60;1;0.135;0.19;0;21;119;0;0;79;2.8594048
Pataua (Patawa), huile;Oenocarpus Bataua;Pataua (Patawa) Oil;OENOCARPUS BATAUA SEED OIL;192;17;106;0;13;4;0;78;3;1;0.143;0.192;0;17;86;0;0;82;3.5289856
Pavot (graines), huile ;Papaver Somniferum;Poppy Seed Oil ;PAPAVER SOMNIFERUM SEED OIL;194;12;54;0;10;2;0;17;69;2;0.138;0.194;0;12;140;0;;88;2.6404224
Pécan, huile;Carya Illinoensis;Pecan Oil;CARYA ILLINOENSIS SEED OIL;191;9;79;0;7;2;0;50;39;2;0.135;0.191;0;9;112;0;0;91;2.968896
