french_name;latin_name;english_name;INCI_name;IS;hardness;INS;lauric;palmitic;stearic;ricinoleic;oleic;Linoleic;linolenic;NaOH_SAP;KOH_SAP;bubbly;creamy;iodine;myristic;cleansing;condition;vitesse_tracage
Huile de Marula;Sclerocarya birrea;Marula oil;SCLEROCARYA BIRREA SEED OIL;191;18;119;0;11;7;0;75;4;0;0.137;0.192;0;18;73;0;0;79;
Huile de Mélisse;Melissa Officinalis;Meadowfoam Oil;MELISSA OFFICINALIS LEAF OIL;;2;77;0;0;0;0;0;0;0;0.12;0.169;0;2;92;0;0;98;
Matière grasse laitière Bovine ;Adeps Bovis;Milk Fat, any Bovine;ADEPS BOVIS;194;55;191;4;28;12;0;19;2;1;0.162;0.227;15;40;30;11;15;22;
Huile de Chradon Marie ;Silybum Marianum;Milk Thistle Oil;SILYBUM MARIANUM SEED OIL;;9;81;0;7;2;0;26;64;0;0.14;0.196;0;9;115;0;0;90;
Huile de Vison;Mustela;Mink Oil ;MINK OIL;196;0;141;0;0;0;0;0;0;0;0.14;0.196;0;0;55;0;0;0;
Huile de Monoi de Tahiti ;Cocos Nucifera & Gardenia Tahitensis;Monoi de Tahiti Oil;COCOS NUCIFERA OIL & GARDENIA TAITENSIS FLOWER EXTRACT;258;73;246;44;10;3;0;0;2;0;0.182;0.255;60;13;9;16;60;2;
Huile de Monoi non parfumé;Cocos Nucifera & Gardenia Tahitensis;Monoi Oil;COCOS NUCIFERA OIL & GARDENIA TAITENSIS FLOWER EXTRACT;267;;;;;;;;;;;;;;;;;;
Huile de Moringa;Moringa Oleifera;Moringa Oil;MORINGA OLEIFERA SEED OIL;191;14;124;0;7;7;0;71;2;0;0.137;0.192;0;14;68;0;0;73;
Beurre de Mowrah;Madhuca Latifolia;Mowrah Butter;MADHUCA LONGIFOLIA SEED OIL;192;46;132;0;24;22;0;36;15;0;0.138;0.194;0;46;62;0;0;51;
Beurre de Murmure;Astrocaryum Murmuru;Murmuru Butter;ASTROCARYUM MURUMURU SEED BUTTER;275;82;250;47;6;3;0;15;3;0;0.196;0.275;73;9;25;26;73;18;
Huile de Moutarde;Brassica Alba;Mustard Oil, Kachi ghani;BRASSICA ALBA SEED OIL;173;4;72;0;2;2;0;18;14;9;0.123;0.173;0;4;101;0;0;41;
Acide Myristique ;Myristic Acid;Myristic Acid;MYRISTIC ACID;;99;246;0;0;0;0;0;0;0;0.176;0.247;99;0;1;99;99;0;
Huile alimentaire pure;;Neatsfood Oil;;;0;90;0;0;0;0;0;0;0;0.128;0.18;0;0;90;0;0;0;
Huile de graines de Margousier;Melia Azadirachta;Neem Seed Oil;MELIA AZADIRACHTA SEED OIL;194;39;121;0;21;16;0;46;12;0;0.138;0.193;2;37;72;2;2;58;
Beurre de noix de muscade;Myristica Fragrans;Nutmeg Butter;MYRISTICA FRAGRANS KERNEL OIL;163;90;116;3;4;0;0;5;0;0;0.116;0.162;86;4;46;83;86;5;
Huile d'Avoine;Avena Sativa;Oat Oil;AVENA SATIVA KERNEL OIL;;17;86;0;15;2;0;40;39;0;0.135;0.19;0;17;104;0;0;79;
Acide Oléique;Acid Oleic;Oleic Acid;OLEIC ACID;;0;110;0;0;0;0;99;0;0;0.144;0.202;0;0;92;0;0;99;
Huile d'Olive;Olea Europaea;Olive Oil;OLEA EUROPAEA FRUIT OIL;190;17;105;0;14;3;0;69;12;1;0.135;0.19;0;17;85;0;0;82;
Huile d'Olive Pomace ;Olea Europaea;Olive Oil Pomace/ butter;OLEA EUROPAEA POMACE EXTRACT;188;17;104;0;14;3;0;69;12;2;0.134;0.188;0;17;84;0;0;83;
Huile d'Autruche ;Ostrich ;Ostrich Oil;OSTRICH OIL;195;36;128;3;26;6;0;37;17;3;0.139;0.195;4;32;97;1;4;57;
Huile de Noix de Palme;Elaeis Guineensis;Palm Kernel Oil   ;ELAEIS GUINEENSIS KERNEL OIL;;75;227;49;8;2;0;15;3;0;0.176;0.247;65;10;20;16;65;18;
Huile de Noix  Palme hydrogénée;Elaeis Guineensis;Palm Kernel Oil Flakes Hydrogenated;HYDROGENATED PALM KERNEL OIL;;90;227;49;8;16;0;4;0;0;0.176;0.247;66;24;20;17;66;4;
Huile de Palme;Elaeis Guineensis;Palm Oil;ELAEIS GUINEENSIS OIL;199;50;145;0;44;5;0;39;10;0;0.142;0.199;1;49;53;1;1;49;
Acide palme-stéarique;;Palm Stearin;;198;67;151;0;60;5;0;26;7;0;0.142;0.199;2;65;48;2;2;33;
Acice Palmitique;Palmitic Acid;Palmitic Acid;PALMITIC ACID;;98;213;0;98;0;0;0;0;0;0.153;0.215;0;98;2;0;0;0;
Palmoléine;;Palmolein;;;46;142;0;40;5;0;43;11;0;0.143;0.2;1;45;58;1;1;54;
Huile de graines de Papaye ;Carica Papaya;Papaya Seed Oil, Carica papaya;CARICA PAPAYA SEED OIL;189;18;91;0;13;5;0;76;3;0;0.113;0.158;0;18;67;0;0;79;
Huile de graines de fruit de la passion ;Passiflora Incarnata;Passion Fruit Seed Oil;PASSIFLORA EDULIS SEED OIL;184;13;47;0;10;3;0;15;70;1;0.13;0.183;0;13;136;0;0;86;
Huile de Pataua (Patawa);;Pataua (Patawa) Oil;;;17;123;0;13;4;0;78;3;1;0.143;0.2;0;17;77;0;0;82;
Huile de Noyaux de Pêche;Prunus Persica;Peach Kernel Oil;PRUNUS PERSICA KERNEL OIL;191;8;87;0;6;2;0;65;25;1;0.136;0.191;0;8;108;0;0;91;
Huile d'Arachide;Arachis Hypogaea;Peanut Oil;ARACHIS HYPOGAEA OIL;191;11;99;0;8;3;0;56;26;0;0.137;0.192;0;11;92;0;0;82;
Huile de Pécan;Carya Illinoensis;Pecan Oil;CARYA ILLINOENSIS SEED OIL;190;9;77;0;7;2;0;50;39;2;0.135;0.19;0;9;113;0;0;91;
Huile de graines de Périlla;Perilla Ocymoides;Perilla Seed Oil;PERILLA OCYMOIDES SEED OIL;192;8;-6;0;6;2;0;15;16;56;0.135;0.19;0;8;196;0;0;87;
Goudron de Pin, soude calcaire;Pinus Palustris ;Pine Tar, lye calc;PINUS PALUSTRIS TAR OIL;;0;0;0;0;0;0;0;0;0;0.043;0.06;0;0;0;0;0;0;
Huile de Pistache;Pistacia vera;Pistachio Oil;PISTACIA VERA SEED OIL;187;12;92;0;11;1;0;63;25;0;0.133;0.186;0;12;95;0;0;88;
Huile de Prune;Prunus Domestica;Plum Kernel Oil;PRUNUS DOMESTICA SEED OIL;194;3;96;0;3;0;0;68;23;0;0.138;0.194;0;3;98;0;0;91;
Huile de pépins de Grenade;Punica Granatum;Pomegranate Seed Oil;PUNICA GRANATUM SEED OIL;;6;168;0;3;3;0;7;7;78;0.135;0.19;0;6;22;0;0;92;
Huile de graines de Pavot ;Papaver Somniferum;Poppy Seed Oil ;PAPAVER SOMNIFERUM SEED OIL;;12;54;0;10;2;0;17;69;2;0.138;0.194;0;12;140;0;;88;
Huile de graines de Pracaxi ;Pentaclethra Macroloba;Pracaxi Seed Oil ;PENTACLETHRA MACROLOBA SEED OIL;;6;107;1;2;2;0;44;2;2;0.125;0.175;2;4;68;1;2;83;
Huile de pépins de Courge;Cucurbita Pepo;Pumpkin Seed Oil ;	CUCURBITA PEPO SEED OIL;194;19;67;0;11;8;0;33;50;0;0.139;0.195;0;19;128;0;0;83;
Graisse de Lapin;Rabbit Fat;Rabbit Fat;RABBIT FAT;;39;116;0;30;6;0;30;20;5;0.143;0.201;3;36;85;3;3;55;
Huile de Colza;Brassica Campestris;Rapeseed Oil ;BRASSICA CAMPESTRIS SEED OIL;174;5;69;0;0;0;0;17;13;9;0.125;0.175;0;1;106;0;0;95;
Huile de pépins de Framboise ;Rubus Idaeus;Raspberry Seed Oil;RUBUS IDAEUS SEED OIL;192;3;24;0;3;0;0;13;55;26;0.133;0.187;0;3;163;0;0;94;
Beurre de Palm rouge;Elaeis Guineensis;Red Palm Butter;ELAEIS GUINEENSIS BUTTER;;50;145;0;44;5;0;39;10;0;0.142;0.199;1;49;53;1;1;49;
Huile de Son de Riz ;Oryza Sativa;Rice Bran Oil ;ORYZA SATIVA GERM OIL;185;26;87;0;22;3;0;38;34;2;0.133;0.187;1;25;100;1;1;74;
